title,description,authors,publisher,published_date,categories,ratings_count,review_score,review_time,review_summary,review_text,total_review,helpful_review
Giant Sticker Activity First Words,"• Ideal for ages 3 and up. • Fun activities teach children new words and counting, sorting, writing and drawing skills. • Contains over 600 stickers.",['Roger Priddy'],Macmillan,2005,['Juvenile Nonfiction'],2.0,5.0,2007-03-10,Children love all the stickers,My two year old loves this sticker book so much. I have bought almost every book like it. Its great!,7,7
Personality Plus: How to Understand Others by Understanding Yourself,"A revealing ""personality profile"" self-test and Littauer's insightful advice help readers better understand themselves and others. A best-seller.",['Florence Littauer'],Revell,1992,['Family & Relationships'],17.0,5.0,2000-05-13,Helpful advice,"As a couple we decided to read the book as we were unable to understand why at times we had such different views and approaches to a situation. The author explained about the different temprements,which helped us realise that even though our temprements were opposite we could have knowledge that opposites do attract!",3,4
Living the Artist's Life,"This is an engrossing yet practical guidebook for artists that has been endorsed by the Rhode Island School of Design, and seven other major universities. It was written by a successful art dealer, Paul Dorrell, who is also a novelist. Dorrell is known for his compassion, and writes in a style that resonates with energy and wisdom. To view excerpts and all of the endorsements, go to: www.livingtheartistslife.com",['Paul Dorrell'],Hillstead Pub,2004,['Art'],1.0,5.0,2005-07-25,Living the Artist's Life,"I have read this book twice and now use it as a research and reference guide. As an artist 'living the artist's life' this book has been a gold mine of information, dos and don'ts, and general reference for any artist out there trying to make a living from his/her craft. Paul Dorrell is a writer and gallery owner and his life's experiences and struggles are meshed into the life's of many artists.This book deserves the attention of all artists: writers, painters, performers who are all out there trying to make it. It was comforting on one hand to know there are many like myself taking the same directions, and yet a little scary to know others have gone the same paths as I have.Any artist full of doubts, depressions, rejections, and wondering where they go from here; read this book and use it as your daily bible. This is the greatist book I could ever read as an artist and an individual trying to succeed in the oh so diificult world of art.",10,10
A Thematic Guide to Optimality Theory (Research Surveys in Linguistics),Explains and explores the central premises of OT and the results of their praxis.,['John J. McCarthy'],Cambridge University Press,2002,['Language Arts & Disciplines'],1.0,4.0,2005-08-19,excellent,"About me: I'm in molecular biology. I read this book because I was interested in if and how ""Optimality Theory"" manages to capture and explain the phenomena of structural complexity and structural diversity in language. I can only review the book from my ""outsider"" position.I think Optimality Theory in its simplicity and brilliance rivals the Theory of Evolution. It will not become as widely popular, because its formulation is more complex, but its impact in linguistics will equal the impact of evolutionary theory in biology. (Actually I think OT is more interesting than TToE, because it explains the underlying structure and emerging laws rather than limiting itself to describe what happens on the surface.)I think John McCarthy does a very good job in explaining its basic principles. The examples are (necessarily) taken from phonology and sometimes syntax. I didn't understand all of them in great detail (as I said I'm not a linguist), but I understood all the principles, which was all I wanted.I recommend this book to people who are interested in linguistics, or in complexity in general. (Obviously I'm in no position to assess for example whether it would be a good study guide for students of linguistics.)",3,3
Zen and the Art of Motorcycle Maintenance : An Inquiry Into Values,"THE CLASSIC BOOK THAT HAS INSPIRED MILLIONS A penetrating examination of how we live and how to live better Few books transform a generation and then establish themselves as touchstones for the generations that follow. Zen and the Art of Motorcycle Maintenance is one such book. This modern epic of a man’s search for meaning became an instant bestseller on publication in 1974, acclaimed as one of the most exciting books in the history of American letters. It continues to inspire millions. A narration of a summer motorcycle trip undertaken by a father and his son, Zen and the Art of Motorcycle Maintenance becomes a personal and philosophical odyssey into fundamental questions on how to live. The narrator's relationship with his son leads to a powerful self-reckoning; the craft of motorcycle maintenance leads to an austerely beautiful process for reconciling science, religion, and humanism. Resonant with the confusions of existence, this classic is a touching and transcendent book of life. This new edition contains an interview with Pirsig and letters and documents detailing how this extraordinary book came to be.",['Robert M. Pirsig'],Harper Collins,2009,['Philosophy'],3618.0,3.0,1998-10-13,problematical to assess,"This book is among the most problematical for me to assess. On the one hand, it seemed overwhelmingly &quot;honest&quot; to me when I first read it. On the other hand, I've read a great deal of philosophy since then, and the initial book now seems trivial by comparison. The book at least provides stimulus to a reader's thoughts, but then once the reader has grown, he may disavow the original catalyst. The book is too serious for the general reader but too lightweight for a serious student of philosophy. The narrative of the cross-country motorcycle trip is alternately compelling and lackluster. The tone and style of writing is colloquial, which may or may not agree with the reader. Overall, then, I give the book a three-star rating, mainly on account of its quality to stimulate the general reader (and it is the general reader to whom the book is addressed) into thinking about metaphysics and modern society.",4,6
The Falcon and the Flower,"Astride her white palfrey, surrounded by a nimbus of silver-blond hair, Jasmine was a vision to strike a man mute with desire. But the violet-eyed love child of King Richard's half brother had vowed that no man would ever rule her heart. Until she saw the face of the Devil himself in her crystal ball--the dark, brooding knight who would kill to make her his own. She would risk a dissolute court and a maddened, lustful king to keep destiny at bay, anything to keep her from the hypnotic eyes and burning caresses of...The Falcon. A wickedly handsome warrior who lived by blood and the sword, Falcon de Burgh wanted to wed no woman--until he laid eyes on the exquisite Jasmine, and he vowed to possess her, to teach her all the wondrous ways a man could love a woman, no matter what it might take to conquer her fiery, unyielding heart. Falcon knew only blind, reckless passion as he swore to tame, at the risk of his life...The Flower.",['Virginia Henley'],Dell,2009,['Fiction'],2.0,4.0,2003-02-27,"Very good, but a bit aggravating","I have read several Henley books. I loved The Marriage Prize. As with that book, this one contained wonderful, fascinating historical facts and a story that I couldn't put down. My only complaint was that Jasmine was so unlikeable. As another reviewer said, she was a spoiled brat and I had very little sympathy for her. If you can put up with a herione like that, the book was well-written and the story comes to a satisfying ending.",6,6
Frankenstein (Running Press classics),A scientist assembles a monster from parts of deadbodies which develops a mind of his own as he learns to loathe himself and his creator.,['Mary Wollstonecraft Shelley'],Running Press Book Publishers,1990,['Frankenstein (Fictitious character)'],1083.0,5.0,2007-06-18,Greatest Story Ever Told,"Sorry to you religious types, but this novel describes the human condition more powerfully than any ""spiritual"" tome. To say that it is about responsibility, scientific as well as parental, would be true but also misleading as to the true depth of the work. Like some greek tragedy, there are no truly evil characters in this story. Both Victor Frankenstein and his creation are the victims of their own personalities. Destiny or psychology? Ponder the creature's emotionally wrought story well, for it describes perfectly the psychology of a terrorist who is a human being with family, not some inhuman monster, who strikes out at those he perceives as uncaring to his real or imagined wrongs suffered at the hands of others. Many forget that this was a horror story. Though the creature started out innocent, in the last third of the novel it has matured into a destructive force. And what a force! It haunts Frankenstein like some demonic monkey on his back, stalking him and killing his loved ones while Frankenstein is unable to expose him to the world without admitting his complicity in the creature's existence, even if he were to be believed. At one point, he ends up in an insane asylum. The novel starts with Frankenstein's obsession to create life, and ends with his obsession to destroy what he has created. A timeless portrait of the human condition in all its wretchedness.",3,5
Joy of Cooking,"“Cooking shouldn’t just be about making a delicious dish—owning the process and enjoying the experience ought to be just as important as the meal itself. The new Joy of Cooking is a reminder that nothing can compare to gathering around the table for a home cooked meal with the people who matter most.” —Joanna Gaines, author of Magnolia Table “Generation after generation, Joy has been a warm, encouraging presence in American kitchens, teaching us to cook with grace and humor. This luminous new edition continues on that important tradition while seamlessly weaving in modern touches, making it all the more indispensable for generations to come.” —Samin Nosrat, author of Salt, Fat, Acid, Heat In the nearly ninety years since Irma S. Rombauer self-published the first three thousand copies of Joy of Cooking in 1931, it has become the kitchen bible, with more than 20 million copies in print. This new edition of Joy has been thoroughly revised and expanded by Irma’s great-grandson John Becker and his wife, Megan Scott. John and Megan developed more than six hundred new recipes for this edition, tested and tweaked thousands of classic recipes, and updated every section of every chapter to reflect the latest ingredients and techniques available to today’s home cooks. Their strategy for revising this edition was the same one Irma and Marion employed: Vet, research, and improve Joy’s coverage of legacy recipes while introducing new dishes, modern cooking techniques, and comprehensive information on ingredients now available at farmers’ markets and grocery stores. You will find tried-and-true favorites like Banana Bread Cockaigne, Chocolate Chip Cookies, and Southern Corn Bread—all retested and faithfully improved—as well as new favorites like Chana Masala, Beef Rendang, Megan’s Seeded Olive Oil Granola, and Smoked Pork Shoulder. In addition to a thoroughly modernized vegetable chapter, there are many more vegan and vegetarian recipes, including Caramelized Tamarind Tempeh, Crispy Pan-Fried Tofu, Spicy Chickpea Soup, and Roasted Mushroom Burgers. Joy’s baking chapters now include gram weights for accuracy, along with a refreshed lineup of baked goods like Cannelés de Bordeaux, Rustic No-Knead Sourdough, Ciabatta, Chocolate-Walnut Babka, and Chicago-Style Deep-Dish Pizza, as well as gluten-free recipes for pizza dough and yeast breads. A new chapter on streamlined cooking explains how to economize time, money, and ingredients and avoid waste. You will learn how to use a diverse array of ingredients, from amaranth to za’atar. New techniques include low-temperature and sous vide cooking, fermentation, and cooking with both traditional and electric pressure cookers. Barbecuing, smoking, and other outdoor cooking methods are covered in even greater detail. This new edition of Joy is the perfect combination of classic recipes, new dishes, and indispensable reference information for today’s home cooks. Whether it is the only cookbook on your shelf or one of many, Joy is and has been the essential and trusted guide for home cooks for almost a century. This new edition continues that legacy.","['Irma S. Rombauer', 'Marion Rombauer Becker', 'Ethan Becker', 'John Becker', 'Megan Scott']",Scribner,2019,['Cooking'],20.0,5.0,2006-01-31,We love the Joy of Cooking,"This was a gift to my mother-in-law to replace an old copy that is falling apart...We love the Joy of Cooking, especailly the older editions (I'm not very familiar with the new one yet)...I use it as a reference whenever I'm dealing with some ingedient or process I've never seen/done before. Before I cook I use Joy as a starting point for the basic recipe (proportions, tempurature, length of cooking) and then go from there with my own creation ...this allows me to be crative in the the kitchen.",9,10
Slaughterhouse-Five,"A special fiftieth anniversary edition of Kurt Vonnegut’s masterpiece, “a desperate, painfully honest attempt to confront the monstrous crimes of the twentieth century” (Time), featuring a new introduction by Kevin Powers, author of the National Book Award finalist The Yellow Birds Selected by the Modern Library as one of the 100 best novels of all time Slaughterhouse-Five, an American classic, is one of the world’s great antiwar books. Centering on the infamous World War II firebombing of Dresden, the novel is the result of what Kurt Vonnegut described as a twenty-three-year struggle to write a book about what he had witnessed as an American prisoner of war. It combines historical fiction, science fiction, autobiography, and satire in an account of the life of Billy Pilgrim, a barber’s son turned draftee turned optometrist turned alien abductee. As Vonnegut had, Billy experiences the destruction of Dresden as a POW. Unlike Vonnegut, he experiences time travel, or coming “unstuck in time.” An instant bestseller, Slaughterhouse-Five made Kurt Vonnegut a cult hero in American literature, a reputation that only strengthened over time, despite his being banned and censored by some libraries and schools for content and language. But it was precisely those elements of Vonnegut’s writing—the political edginess, the genre-bending inventiveness, the frank violence, the transgressive wit—that have inspired generations of readers not just to look differently at the world around them but to find the confidence to say something about it. Authors as wide-ranging as Norman Mailer, John Irving, Michael Crichton, Tim O’Brien, Margaret Atwood, Elizabeth Strout, David Sedaris, Jennifer Egan, and J. K. Rowling have all found inspiration in Vonnegut’s words. Jonathan Safran Foer has described Vonnegut as “the kind of writer who made people—young people especially—want to write.” George Saunders has declared Vonnegut to be “the great, urgent, passionate American writer of our century, who offers us . . . a model of the kind of compassionate thinking that might yet save us from ourselves.” Fifty years after its initial publication at the height of the Vietnam War, Vonnegut's portrayal of political disillusionment, PTSD, and postwar anxiety feels as relevant, darkly humorous, and profoundly affecting as ever, an enduring beacon through our own era’s uncertainties. “Poignant and hilarious, threaded with compassion and, behind everything, the cataract of a thundering moral statement.”—The Boston Globe",['Kurt Vonnegut'],Dial Press Trade Paperback,1999,['Fiction'],1523.0,3.0,1999-10-03,"The novel was okay, but I found it hard to follow","I thought the anti-war theme was very good. It reminds you of how bad war really is. I'm only 17 so I havn't ever experinced a real war. I think that movies and shows today do to much to glorify war, but this book does a great job of making you realize what war is like. One think I did not like was all the time traveling and the whole alien thing. I found it to be confusing and stupid. Other than that I liked the book.",0,1
"23 Minutes In Hell: One Man's Story About What He Saw, Heard, and Felt in that Place of Torment","New York Times Best Seller and Over 1 million copies sold! Over 750 5-Star reviews Wiese’s visit to the devil’s lair lasted just twenty-three minutes, but he returned with vivid details etched in his memory, capturing the attention of national media, including the Christian Broadcasting Network, Daystar Television Network, Trinity Broadcasting Network, the Miracle Channel, Sid Roth’s It’s Supernatural!, Sean Hannity’s America, Charisma News, and many others. Bill Wiese experienced something so horrifying it continues to captivate the world. He saw the searing flames of hell, felt total isolation, smelled the putrid and rotting stench, heard deafening screams of agony, and experienced terrorizing demons. Finally the strong hand of God lifted him out of the pit. Now Wiese shares his insights on commonly asked questions such as: Is hell a literal burning place? Where is hell? Do you have a body in hell? Are there degrees of punishment in hell? Are there children in hell? Can demons torment people in hell? Can “good” people go to hell?",['Bill Wiese'],Charisma Media,2010,['Religion'],263.0,5.0,2008-03-10,Hell is REAL,"For those of you who think hell is some metaphorical ""make believe"" place...I promise you, one day you'll believe that hell is real. But it will be too late for you. Your chance to repent and be saved is NOW. When you die in your sins this day (and everyday that you denied the Savior Jesus Christ) will come back to haunt you. You have been warned. Hell is full of souls like you... what a pity...",1,3
